trans_date_trans_time,category,amt,gender,city_pop,dob,is_fraud,trans_year,age,age_group,Region,is_weekend,day_period,trans_month,job_sector
2019-11-20 22:18:56,4,312.51,1,1680,1976,1,0,43,2,1,0,3,9,3
2020-02-02 23:13:33,7,20.53,0,71485,1974,1,1,46,2,2,1,3,3,7
2019-12-04 01:53:21,4,264.1,1,95035,1987,1,0,32,1,4,0,3,2,8
2019-03-04 22:11:30,11,987.73,1,673342,1946,1,0,73,3,1,0,3,7,8
2019-12-11 22:37:25,11,868.0,0,460,2004,1,0,15,0,1,0,3,2,8
2019-01-12 22:02:44,8,843.44,1,2518,1946,1,0,73,3,2,0,3,4,8
2019-06-29 22:21:57,8,744.63,1,33804,1991,1,0,28,1,4,0,3,6,8
2019-03-08 23:51:18,9,49.08,0,522,1946,1,0,73,3,4,1,3,7,0
2019-08-03 05:56:11,2,10.12,1,16163,1987,1,0,32,1,1,0,3,1,0
2019-01-30 01:41:50,4,270.28,0,2749,1997,1,0,22,1,4,0,3,4,8
2019-10-20 03:42:27,4,346.26,0,754,1962,1,0,57,2,1,1,3,10,8
2019-09-28 23:48:26,11,1080.2,0,34153,1995,1,0,24,1,4,0,3,11,0
2019-05-29 23:48:57,4,316.37,1,1766,1962,1,0,57,2,2,0,3,8,4
2019-10-14 00:37:54,2,12.26,1,5451,1961,1,0,58,2,4,0,3,10,8
2019-03-15 01:07:29,4,355.37,1,478404,1940,1,0,79,3,5,1,3,7,4
2019-11-02 23:55:45,4,304.86,1,28425,1970,1,0,49,2,2,0,3,9,8
2019-03-11 22:50:30,10,52.21,0,1271,1958,1,0,61,3,2,0,3,7,8
2019-10-09 22:21:43,11,1030.92,1,15269,1993,1,0,26,1,2,0,3,10,8
2019-01-10 02:55:38,2,8.45,0,276002,1950,1,0,69,3,4,0,3,4,8
2020-06-20 23:17:07,4,307.71,1,1306,1958,1,1,62,3,1,0,3,6,8
2019-10-11 17:11:33,11,1009.3,0,203571,1995,1,0,24,1,2,1,1,10,8
2019-11-14 02:35:35,4,325.37,0,92985,1968,1,0,51,2,1,0,3,9,8
2019-07-26 22:16:39,8,834.52,1,1120,1957,1,0,62,3,1,1,3,5,7
2019-04-03 23:48:32,11,994.0,1,13021,2001,1,0,18,0,4,0,3,0,3
2020-04-20 22:17:10,8,748.8,0,215,1968,1,1,52,2,1,0,3,0,8
2020-01-27 02:12:04,0,455.12,0,9521,1977,1,1,43,2,4,0,3,4,8
2019-08-18 21:58:12,12,949.43,1,4081,1938,1,0,81,3,1,1,3,1,4
2020-03-08 22:19:08,8,830.09,0,14267,1963,1,1,57,2,4,1,3,7,8
2019-02-13 22:05:06,8,801.83,0,641349,1967,1,0,52,2,3,0,3,3,8
2019-03-16 22:38:47,11,1204.44,1,1656,1969,1,0,50,2,1,0,3,7,8
2020-02-27 01:54:00,12,766.77,0,533,1990,1,1,30,1,1,0,3,3,8
2019-09-11 23:26:57,4,291.69,1,123,1973,1,0,46,2,0,0,3,11,1
2019-10-02 22:49:10,8,790.45,0,2089,1963,1,0,56,2,1,0,3,10,0
2019-07-28 23:48:14,11,1013.23,0,8007,1940,1,0,79,3,1,1,3,5,3
2019-05-29 22:10:59,11,1121.83,1,1766,1962,1,0,57,2,2,0,3,8,4
2019-05-13 00:13:39,4,276.33,1,151815,1988,1,0,31,1,3,0,3,8,1
2019-02-13 23:08:43,12,875.17,0,641349,1967,1,0,52,2,3,0,3,3,8
2019-05-22 22:46:13,12,925.49,1,163415,1975,1,0,44,2,1,0,3,8,8
2020-03-30 23:57:26,11,983.79,1,648,1969,1,1,51,2,3,0,3,7,8
2019-08-04 01:57:39,4,331.29,0,27971,1984,1,0,35,1,3,1,3,1,3
2020-04-28 02:06:41,12,685.42,0,1334,1986,1,1,34,1,2,0,3,0,8
2019-01-25 22:14:49,7,19.05,1,149,2000,1,0,19,1,1,1,3,4,8
2020-04-18 00:00:53,4,302.63,1,372,1997,1,1,23,1,1,0,3,0,7
2020-01-24 23:49:20,12,754.13,0,136,1953,1,1,67,3,1,1,3,4,1
2019-03-06 22:25:35,5,20.63,0,545147,1987,1,0,32,1,1,0,3,7,8
2019-06-30 22:25:22,11,980.76,0,502,1960,1,0,59,2,4,1,3,6,8
2020-02-08 00:01:12,4,252.79,1,409656,1985,1,1,35,1,1,0,3,3,7
2019-10-12 17:54:09,9,8.38,1,2644,1981,1,0,38,2,1,0,1,10,8
2019-09-29 23:49:12,11,1047.43,0,4993,1948,1,0,71,3,4,1,3,11,3
2019-04-13 22:35:44,13,1.18,1,800,1932,1,0,87,3,4,0,3,0,3
2019-07-07 12:44:13,11,1171.78,0,1304,1970,1,0,49,2,2,1,2,5,8
2019-11-26 22:02:41,10,48.12,1,759,1957,1,0,62,3,5,0,3,9,4
2019-11-30 11:36:11,4,311.64,1,298,1963,1,0,56,2,4,0,2,9,8
2019-03-19 02:16:08,9,837.95,0,454,1972,1,0,47,2,1,0,3,7,8
2019-05-19 03:33:31,4,338.19,0,2456,1994,1,0,25,1,2,1,3,8,6
2020-05-03 01:17:08,3,12.19,0,28425,2000,1,1,20,1,2,1,3,8,8
2020-01-17 19:42:43,6,204.96,1,3730,1991,1,1,29,1,4,1,1,4,3
2019-03-10 22:00:31,7,17.57,0,513,1976,1,0,43,2,4,1,3,7,1
2020-03-13 22:18:07,11,859.91,1,1302,1976,1,1,44,2,0,1,3,7,8
2019-06-23 23:15:18,13,10.91,0,372,1995,1,0,24,1,1,1,3,6,8
2019-08-10 23:23:14,12,1133.39,1,895,1999,1,0,20,1,0,0,3,1,8
2019-01-20 11:52:57,8,861.36,0,5950,1971,1,0,48,2,2,1,2,4,7
2019-12-28 01:17:50,4,325.1,0,106,1983,1,0,36,2,4,0,3,2,8
2019-11-20 00:22:16,8,926.91,1,3202,1998,1,0,21,1,4,0,3,9,8
2020-06-04 22:18:45,11,1031.68,1,1654,1991,1,1,29,1,2,0,3,6,6
2019-11-10 22:33:12,11,971.87,1,640470,1966,1,0,53,2,4,1,3,9,7
2019-11-28 01:18:00,2,19.65,0,2148,1953,1,0,66,3,2,0,3,9,8
2019-11-27 22:43:31,4,333.53,1,759,1957,1,0,62,3,5,0,3,9,4
2019-02-07 23:44:47,11,1096.03,0,16955,1961,1,0,58,2,0,0,3,3,8
2019-11-15 00:53:09,4,318.22,1,744,1968,1,0,51,2,1,1,3,9,4
2019-05-20 23:07:22,8,869.16,1,477,1988,1,0,31,1,2,0,3,8,4
2020-06-13 02:04:24,12,777.95,0,1574,1982,1,1,38,2,1,0,3,6,8
2019-02-12 18:32:13,8,763.2,0,1420,1965,1,0,54,2,0,0,1,3,4
2020-05-29 15:12:38,11,919.37,1,3085,1990,1,1,30,1,4,1,0,8,0
2019-03-05 00:38:36,11,920.74,0,172247,1979,1,0,40,2,4,0,3,7,8
2019-04-14 23:00:32,8,799.11,1,1565,1968,1,0,51,2,4,1,3,0,8
2020-03-19 03:27:06,4,339.19,0,413574,1971,1,1,49,2,4,0,3,7,8
2020-06-05 22:37:06,11,1078.98,0,2856,1926,1,1,94,3,4,1,3,6,8
2020-03-02 02:39:20,2,8.01,1,31515,1971,1,1,49,2,1,0,3,7,8
2019-08-03 03:46:48,8,687.1,1,16163,1987,1,0,32,1,1,0,3,1,0
2019-07-10 02:45:57,4,283.11,1,4533,1969,1,0,50,2,2,0,3,5,2
2020-03-28 22:43:09,8,683.53,0,1417793,1946,1,1,74,3,5,0,3,7,6
2019-03-11 01:12:10,2,18.55,1,470,1965,1,0,54,2,4,0,3,7,1
2019-10-18 03:16:48,2,7.04,1,7987,1964,1,0,55,2,2,1,3,10,8
2020-05-04 00:53:19,4,290.48,1,4677,1955,1,1,65,3,0,0,3,8,8
2019-03-25 22:56:04,8,730.3,0,18459,1929,1,0,90,3,2,0,3,7,8
2020-04-23 03:00:37,12,739.33,0,3684,1981,1,1,39,2,0,0,3,0,8
2020-01-19 03:24:49,11,1057.44,0,241,1974,1,1,46,2,1,1,3,4,4
2020-01-10 23:21:53,4,274.73,1,68211,1934,1,1,86,3,4,1,3,4,4
2019-10-17 02:20:11,3,12.68,0,11751,1964,1,0,55,2,4,0,3,10,9
2019-01-08 11:41:04,4,291.51,1,21635,2001,1,0,18,0,1,0,2,4,8
2020-02-09 03:46:51,4,274.28,1,9815,1975,1,1,45,2,4,1,3,3,8
2020-04-30 23:40:18,10,48.15,1,207,1955,1,1,65,3,3,0,3,0,4
2019-05-20 02:41:43,9,7.52,0,5161,1993,1,0,26,1,4,0,3,8,4
2019-03-28 01:14:51,2,20.15,0,37,1958,1,0,61,3,4,0,3,7,8
2019-12-30 23:01:12,8,774.71,1,168,1978,1,0,41,2,2,0,3,2,8
2019-12-03 23:12:49,0,565.3,1,349,1978,1,0,41,2,1,0,3,2,8
2020-02-28 01:51:19,2,17.3,0,2078,1963,1,1,57,2,3,1,3,3,8
2019-12-02 22:33:30,11,1057.22,1,5666,2003,1,0,16,0,4,0,3,2,0
2020-01-07 15:27:09,11,1039.82,1,214703,1994,1,1,26,1,4,0,0,4,8
2019-01-08 03:06:06,4,276.41,1,21635,2001,1,0,18,0,1,0,3,4,8
2019-10-19 22:45:17,7,18.29,0,824,1985,1,0,34,1,2,0,3,10,7
2019-03-16 02:23:05,11,910.76,0,107941,1991,1,0,28,1,0,0,3,7,8
2019-04-05 23:26:23,4,307.8,0,1478,1965,1,0,54,2,1,1,3,0,3
2019-11-11 07:19:40,4,294.87,1,640470,1966,1,0,53,2,4,0,2,9,7
2019-02-06 14:02:49,12,923.4,0,254,1952,1,0,67,3,1,0,0,3,8
2020-02-25 02:39:14,4,300.89,0,1583,1999,1,1,21,1,1,0,3,3,8
2019-09-13 23:52:43,6,221.78,0,242803,1963,1,0,56,2,4,1,3,11,7
2019-07-04 00:50:05,11,1032.41,0,100,1974,1,0,45,2,3,0,3,5,8
2019-10-13 03:45:14,11,935.95,0,863,1972,1,0,47,2,4,1,3,10,8
2019-06-03 22:09:45,11,957.11,1,782,2000,1,0,19,1,2,0,3,6,2
2020-02-12 01:09:09,11,942.21,0,753116,1971,1,1,49,2,1,0,3,3,8
2020-03-02 22:33:25,11,978.97,0,15647,1957,1,1,63,3,4,0,3,7,8
2019-08-17 22:53:07,6,220.43,0,26551,1977,1,0,42,2,4,0,3,1,8
2020-02-25 01:38:53,4,282.4,0,1583,1999,1,1,21,1,1,0,3,3,8
2019-11-25 02:07:00,4,283.17,1,276896,1997,1,0,22,1,5,0,3,9,8
2019-04-13 23:09:36,11,1029.83,1,1565,1968,1,0,51,2,4,0,3,0,8
2019-03-04 00:04:47,4,299.0,1,673342,1946,1,0,73,3,1,0,3,7,8
2019-03-22 02:20:46,1,111.86,0,151785,1974,1,0,45,2,4,1,3,7,8
2019-12-04 00:14:28,4,310.1,0,12866,1946,1,0,73,3,1,0,3,2,8
2019-04-19 02:13:24,4,306.26,1,4680,1986,1,0,33,1,2,1,3,0,8
2019-06-16 00:37:09,4,310.66,1,68211,1941,1,0,78,3,4,1,3,6,8
2019-03-25 00:51:04,2,8.45,1,389246,1938,1,0,81,3,3,0,3,7,8
2020-06-18 10:29:46,4,308.5,0,320,1961,1,1,59,2,1,0,2,6,8
2019-07-21 03:24:29,2,9.46,1,5354,1965,1,0,54,2,4,1,3,5,9
2020-01-11 19:31:03,8,871.07,0,6460,1959,1,1,61,3,2,0,1,4,0
